DIN	|  DOUT	|	DC	DB	DA	|	RDY
255	|	255	|	0	0	0	|	0
1	|	1	|	0	0	255	|	0
2	|	2	|	0	255	1	|	0
3	|	3	|	255	1	2	|	0
4	|	4	|	1	2	3	|	1
5	|	5	|	2	3	4	|	1
6	|	6	|	3	4	5	|	1
7	|	7	|	4	5	6	|	1
8	|	8	|	5	6	7	|	1
9	|	9	|	6	7	8	|	1
10	|	10	|	7	8	9	|	1
11	|	11	|	8	9	10	|	1
12	|	12	|	9	10	11	|	1
13	|	13	|	10	11	12	|	1
14	|	14	|	11	12	13	|	1
15	|	15	|	12	13	14	|	1
16	|	16	|	13	14	15	|	1
[RESET event]
17	|	17	|	0	0	0	|	0
18	|	18	|	0	0	0	|	0
1	|	1	|	0	0	18	|	0
[RESET event]
2	|	2	|	0	0	0	|	0
3	|	3	|	0	0	0	|	0
1	|	1	|	0	0	3	|	0
2	|	2	|	0	3	1	|	0
3	|	3	|	3	1	2	|	0
4	|	4	|	1	2	3	|	1
5	|	5	|	2	3	4	|	1
6	|	6	|	3	4	5	|	1
7	|	7	|	4	5	6	|	1
8	|	8	|	5	6	7	|	1
9	|	9	|	6	7	8	|	1
10	|	10	|	7	8	9	|	1
11	|	11	|	8	9	10	|	1
12	|	12	|	9	10	11	|	1
13	|	13	|	10	11	12	|	1
14	|	14	|	11	12	13	|	1
15	|	15	|	12	13	14	|	1
16	|	16	|	13	14	15	|	1
17	|	17	|	14	15	16	|	1
18	|	18	|	15	16	17	|	1
19	|	19	|	16	17	18	|	1
20	|	20	|	17	18	19	|	1
21	|	21	|	18	19	20	|	1
22	|	22	|	19	20	21	|	1
23	|	23	|	20	21	22	|	1
24	|	24	|	21	22	23	|	1
25	|	25	|	22	23	24	|	1
26	|	26	|	23	24	25	|	1
27	|	27	|	24	25	26	|	1
28	|	28	|	25	26	27	|	1
29	|	29	|	26	27	28	|	1
30	|	30	|	27	28	29	|	1
31	|	31	|	28	29	30	|	1
32	|	32	|	29	30	31	|	1
33	|	33	|	30	31	32	|	1
34	|	34	|	31	32	33	|	1
35	|	35	|	32	33	34	|	1
36	|	36	|	33	34	35	|	1
37	|	37	|	34	35	36	|	1
38	|	38	|	35	36	37	|	1
39	|	39	|	36	37	38	|	1
40	|	40	|	37	38	39	|	1
41	|	41	|	38	39	40	|	1
42	|	42	|	39	40	41	|	1
43	|	43	|	40	41	42	|	1
44	|	44	|	41	42	43	|	1
45	|	45	|	42	43	44	|	1
46	|	46	|	43	44	45	|	1
47	|	47	|	44	45	46	|	1
48	|	48	|	45	46	47	|	1
49	|	49	|	46	47	48	|	1
50	|	50	|	47	48	49	|	1
51	|	51	|	48	49	50	|	1
52	|	52	|	49	50	51	|	1
53	|	53	|	50	51	52	|	1
54	|	54	|	51	52	53	|	1
55	|	55	|	52	53	54	|	1
56	|	56	|	53	54	55	|	1
57	|	57	|	54	55	56	|	1
58	|	58	|	55	56	57	|	1
59	|	59	|	56	57	58	|	1
60	|	60	|	57	58	59	|	1
61	|	61	|	58	59	60	|	1
62	|	62	|	59	60	61	|	1
63	|	63	|	60	61	62	|	1
64	|	64	|	61	62	63	|	1
65	|	65	|	62	63	64	|	1
66	|	66	|	63	64	65	|	1
67	|	67	|	64	65	66	|	1
68	|	68	|	65	66	67	|	1
